meas,index,voice,loc,tick,sec,dur,rval,dot_cnt,sci_pitch,dmark,dlevel,status,d0,d1,bar,section,bpm,grace,pedal,dyn,even,tempo
,295,,,0,10.57224,,,,,,,176,64,102,,,,,,,,
,296,,,0,10.582656,,,,,,,176,64,103,,,,,,,,
,297,,,0,10.595676,,,,,,,176,64,102,,,,,,,,
,298,,,0,10.603488,,,,,,,176,64,103,,,,,,,,
,299,,,0,10.603488,,,,,,,144,33,0,,,,,,,,
,300,,,0,10.62432,,,,,,,176,64,102,,,,,,,,
,301,,,0,10.632132,,,,,,,176,64,103,,,,,,,,
,302,,,0,10.665984,,,,,,,144,41,19,,,,,,,,
,303,,,0,10.679004,,,,,,,144,61,0,,,,,,,,
,304,,,0,10.692024,,,,,,,176,64,104,,,,,,,,
,305,,,0,10.70244,,,,,,,176,64,106,,,,,,,,
,306,,,0,10.712856,,,,,,,176,64,103,,,,,,,,
,307,,,0,10.723272,,,,,,,176,64,106,,,,,,,,
,308,,,0,10.733688,,,,,,,176,64,103,,,,,,,,
,309,,,0,10.7415,,,,,,,144,41,0,,,,,,,,
,310,,,0,10.744104,,,,,,,176,64,106,,,,,,,,
,311,,,0,10.75452,,,,,,,176,64,105,,,,,,,,
,312,,,0,10.762332,,,,,,,176,64,106,,,,,,,,
,313,,,0,10.783164,,,,,,,176,64,107,,,,,,,,
,314,,,0,10.803996,,,,,,,176,64,106,,,,,,,,
302,315,3,9199,0,10.811808,29,32.0,0,F#2,ppp,5,144,42,52,,,,,,,e,
,316,,,0,10.814412,,,,,,,176,64,107,,,,,,,,
,317,,,0,10.83264,,,,,,,176,64,106,,,,,,,,
,318,,,0,10.843056,,,,,,,176,64,107,,,,,,,,
,319,,,0,10.853472,,,,,,,176,64,106,,,,,,,,
,320,,,0,10.874304,,,,,,,176,64,107,,,,,,,,
,321,,,0,10.902948,,,,,,,176,64,106,,,,,,,,
302,322,3,9200,0,10.915968,28,32.0,0,C#4,ppp,5,144,61,34,,,,,,,e,
,323,,,0,10.921176,,,,,,,176,64,107,,,,,,,,
,324,,,0,10.931592,,,,,,,176,64,106,,,,,,,,
,325,,,0,10.942008,,,,,,,176,64,107,,,,,,,,
,326,,,0,10.952424,,,,,,,176,64,106,,,,,,,,
,327,,,0,10.96284,,,,,,,176,64,107,,,,,,,,
,328,,,0,10.978464,,,,,,,144,61,0,,,,,,,,
,329,,,0,10.991484,,,,,,,176,64,106,,,,,,,,
,330,,,0,11.0019,,,,,,,176,64,107,,,,,,,,
